Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
13-Apr-20,LAS,801,96.59%,67.25%,158,13.27%,4,0.34%,4,0.34%,123.32,17.01,0.17,66.08,19.73,30.88,391.66,0.1
13-Apr-20,NEAS,144,63.72%,51.25%,5,1.78%,0,0.00%,0,0.00%,13.47,1.69,0,46.85,15.08,50.9,70.63,0.05
13-Apr-20,NWAS,492,61.59%,61.50%,101,12.63%,4,0.50%,0,0.00%,79.86,14.87,0.37,71.15,19.38,31.94,258.37,0.1
13-Apr-20,SCAS,169,73.89%,40.63%,11,2.64%,1,0.24%,0,0.00%,16.94,2.13,0.18,71.02,14.87,20.46,103.1,0.04
13-Apr-20,SECAmb,495,93.15%,60.66%,75,9.19%,1,0.12%,0,0.00%,63.29,8.06,0.4,84.05,18.17,27.65,247.09,0.08
13-Apr-20,SWAS,243,100.00%,26.79%,41,4.52%,4,0.44%,0,0.00%,35.61,7.37,0.81,81.65,12.19,23.24,184.27,0.04
13-Apr-20,WMAS,560,88.73%,54.32%,43,4.17%,0,0.00%,0,0.00%,60.7,4,0,56.52,16.99,24.8,291.94,0.06
13-Apr-20,YAS,197,74.54%,32.67%,33,5.47%,1,0.17%,0,0.00%,27.16,4.04,0.16,69.78,12.46,23.65,125.19,0.05
14-Apr-20,EEAST,575,89.17%,69.87%,110,13.37%,7,0.85%,0,0.00%,88.41,16.52,0.68,71.03,20.05,31.97,275.01,0.11
14-Apr-20,EMAS,654,100.00%,67.49%,150,15.48%,8,0.83%,1,0.10%,339.11,69.85,3.6,134.17,20.5,32.42,331.09,0.35
