Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Dec-20,WMAS,"28,461",90.05%,59.05%,"8,239",17.09%,"3,092",6.41%,"1,630",3.38%,"8,862.53","4,948.36","2,506.96",440,24.46,48.69,"19,651.56",0.18
Dec-20,YAS,"10,487",76.29%,39.78%,"3,372",12.79%,812,3.08%,321,1.22%,"2,789.53","1,260.55",425.82,237.93,17,35.15,"7,469.35",0.11
Jan-21,EEAST,"27,288",92.07%,70.63%,"7,846",20.31%,"2,764",7.15%,"1,471",3.81%,"8,464.75","4,600.31","2,351.26",461.43,27.04,52.03,"17,414.04",0.22
Jan-21,EMAS,"24,120",100.00%,64.62%,"6,814",18.26%,"1,830",4.90%,885,2.37%,"13,982.56","4,840.33","1,723.48",448,23.86,44.59,"14,842.24",0.37
Jan-21,IOW,344,90.84%,30.44%,52,4.60%,16,1.42%,5,0.44%,54.06,21.28,8.13,157.32,14.64,21.22,275.78,0.05
Jan-21,LAS,"37,120",94.58%,72.22%,"11,923",23.20%,"2,707",5.27%,"2,707",5.27%,"11,053.95","5,387.59","2,578.65",476.33,26.78,47.92,"22,938.70",0.22
Jan-21,NEAS,"7,682",74.44%,55.84%,"1,412",10.26%,284,2.06%,92,0.67%,"1,353.00",807.44,345.06,226.43,18.92,55.87,"4,338.88",0.1
Jan-21,NWAS,"23,336",72.19%,61.51%,"5,994",15.80%,"1,282",3.38%,587,1.55%,"5,418.66","2,242.63",893.74,335.17,22.03,39.55,"13,930.99",0.14
Jan-21,SCAS,"11,379",84.14%,49.52%,"2,656",11.56%,913,3.97%,495,2.15%,"2,946.14","1,554.44",817.32,502.5,20.67,35.48,"7,915.73",0.13
Jan-21,SECAmb,"20,049",91.10%,63.17%,"4,359",13.73%,"1,135",3.58%,609,1.92%,"4,583.39","2,077.54","1,030.09",564.45,22.35,39.33,"11,821.69",0.14
Jan-21,SWAS,"16,525",100.00%,42.08%,"6,873",17.50%,"2,961",7.54%,"1,662",4.23%,"7,473.63","4,840.78","2,641.91",518.1,22.6,50.98,"14,791.57",0.19
Jan-21,WMAS,"30,381",89.97%,62.29%,"9,075",18.61%,"3,711",7.61%,"2,178",4.47%,"10,599.72","6,353.21","3,593.35",496,26.63,54.68,"21,649.61",0.22
Jan-21,YAS,"10,483",76.59%,39.91%,"3,323",12.65%,839,3.19%,302,1.15%,"2,795.86","1,273.95",430.23,322.55,17.15,35.07,"7,507.44",0.11
Feb-21,EEAST,"22,381",94.68%,61.41%,"4,235",11.62%,948,2.60%,394,1.08%,"4,239.82","1,535.08",556.54,338.98,20.56,34.13,"12,488.75",0.12
Feb-21,EMAS,"20,660",100.00%,60.77%,"4,958",14.58%,"1,047",3.08%,484,1.42%,"11,100.46","3,067.43",878.54,420,21.31,38.06,"12,073.37",0.33
Feb-21,IOW,254,94.01%,24.14%,18,1.71%,2,0.19%,0,0.00%,24.09,2.7,0.16,67.4,12.83,18.71,224.92,0.02
Feb-21,LAS,"28,930",94.73%,63.88%,"6,083",13.43%,376,0.83%,376,0.83%,"4,963.43","1,129.94",195,249.27,20.08,30.67,"15,153.66",0.11
Feb-21,NEAS,"7,049",79.08%,52.29%,"1,231",9.13%,231,1.71%,61,0.45%,"1,164.78",674.95,261.95,217.97,18.02,55.2,"4,047.47",0.09
Feb-21,NWAS,"18,505",74.55%,52.83%,"3,060",8.74%,287,0.82%,106,0.30%,"2,818.54",656.82,147.71,236.25,17.81,29.11,"10,400.31",0.08
Feb-21,SCAS,"7,528",86.37%,36.56%,969,4.71%,118,0.57%,28,0.14%,965.08,223.1,48.2,227.12,15.1,22.12,"5,182.27",0.05
Feb-21,SECAmb,"15,615",92.84%,52.19%,"2,374",7.94%,321,1.07%,106,0.35%,"2,291.08",587.88,157.71,312.12,17.77,28.22,"8,859.33",0.08
